# Rime user dictionary
#@/db_name	rime_frost
#@/db_type	userdb
#@/rime_version	1.16.0
#@/tick	8035
#@/user_id	current
bai 	摆	c=4 d=4.19214e-23 t=7478
bai 	白	c=41 d=3.5214e-22 t=7478
bai 	百	c=11 d=1.00612e-22 t=7478
bai 	败	c=2 d=2.51529e-23 t=7478
bai bian 	百变	c=0 d=0 t=7478
bai bian guai 	百变怪	c=1 d=1.67686e-23 t=7478
bai cai 	白菜	c=6 d=5.869e-23 t=7478
bai ce 	白测	c=1 d=1.67686e-23 t=7478
bai deng 	拜登	c=1 d=1.67686e-23 t=7478
bai dian 	白点	c=1 d=1.67686e-23 t=7478
bai ding 	白丁	c=1 d=1.67686e-23 t=7478
bai du 	百度	c=33 d=2.85066e-22 t=7478
bai fen 	百分	c=1 d=1.67686e-23 t=7478
bai fen bai 	百分百	c=9 d=8.38431e-23 t=7478
bai fen bi 	百分比	c=7 d=6.70744e-23 t=7478
bai fen hao 	百份好	c=1 d=1.67686e-23 t=7478
bai fen zhi 	百分之	c=1 d=1.67686e-23 t=7478
bai gan 	白干	c=8 d=7.54587e-23 t=7478
bai gao xing 	白高兴	c=1 d=1.67686e-23 t=7478
bai gong 	白宫	c=1 d=1.67686e-23 t=7478
bai hu 	白虎	c=1 d=1.67686e-23 t=7478
bai jiu 	白酒	c=3 d=3.35372e-23 t=7478
bai ke 	百科	c=2 d=2.51529e-23 t=7478
bai lai 	白濑	c=1 d=1.67686e-23 t=7478
bai ma 	白马	c=1 d=1.67686e-23 t=7478
bai mai 	摆卖	c=2 d=2.51529e-23 t=7478
bai mai 	白买	c=2 d=2.51529e-23 t=7478
bai mao 	白猫	c=1 d=1.67686e-23 t=7478
bai ming dan 	白名单	c=355 d=0.000133299 t=7478
bai piao 	白票	c=2 d=2.51529e-23 t=7478
bai ping 	白屏	c=10 d=9.22275e-23 t=7478
bai ren 	白人	c=1 d=1.67686e-23 t=7478
bai se 	白色	c=7 d=6.70744e-23 t=7478
bai she 	摆设	c=1 d=1.67686e-23 t=7478
bai shi zhou 	白石洲	c=1 d=1.67686e-23 t=7478
bai shou qi jia 	白手起家	c=2 d=2.51529e-23 t=7478
