# Rime user dictionary
#@/db_name	rime_frost
#@/db_type	userdb
#@/rime_version	1.16.0
#@/tick	2174
#@/user_id	c28f17ba-0bbb-4f45-89da-6c5d9fec0f91
bai 	拜	c=1 d=5.4253e-13 t=2174
bai 	摆	c=4 d=1.35632e-12 t=2174
bai 	白	c=41 d=1.13931e-11 t=2174
bai 	百	c=11 d=3.25518e-12 t=2174
bai 	败	c=2 d=8.13795e-13 t=2174
bai bian 	百变	c=0 d=0 t=2174
bai bian guai 	百变怪	c=1 d=5.4253e-13 t=2174
bai cai 	白菜	c=6 d=1.89885e-12 t=2174
bai ce 	白测	c=1 d=5.4253e-13 t=2174
bai deng 	拜登	c=1 d=5.4253e-13 t=2174
bai dian 	白点	c=1 d=5.4253e-13 t=2174
bai ding 	白丁	c=1 d=5.4253e-13 t=2174
bai du 	百度	c=33 d=9.223e-12 t=2174
bai fen 	百分	c=1 d=5.4253e-13 t=2174
bai fen bai 	百分百	c=9 d=2.71265e-12 t=2174
bai fen bi 	百分比	c=7 d=2.17012e-12 t=2174
bai fen hao 	百份好	c=1 d=5.4253e-13 t=2174
bai fen zhi 	百分之	c=1 d=5.4253e-13 t=2174
bai gan 	白干	c=8 d=2.44138e-12 t=2174
bai gao xing 	白高兴	c=1 d=5.4253e-13 t=2174
bai gong 	白宫	c=1 d=5.4253e-13 t=2174
bai hu 	白虎	c=1 d=5.4253e-13 t=2174
bai jiu 	白酒	c=3 d=1.08506e-12 t=2174
bai ke 	百科	c=2 d=8.13795e-13 t=2174
bai lai 	白濑	c=1 d=5.4253e-13 t=2174
bai ma 	白马	c=1 d=5.4253e-13 t=2174
bai mai 	摆卖	c=2 d=8.13795e-13 t=2174
bai mai 	白买	c=2 d=8.13795e-13 t=2174
bai mao 	白猫	c=1 d=5.4253e-13 t=2174
bai ming dan 	白名单	c=352 d=9.57565e-11 t=2174
bai piao 	白票	c=2 d=8.13795e-13 t=2174
bai ping 	白屏	c=10 d=2.98391e-12 t=2174
bai ren 	白人	c=1 d=5.4253e-13 t=2174
bai se 	白色	c=7 d=2.17012e-12 t=2174
bai she 	摆设	c=1 d=5.4253e-13 t=2174
bai shi zhou 	白石洲	c=1 d=5.4253e-13 t=2174
bai shou qi jia 	白手起家	c=2 d=8.13795e-13 t=2174
bai tian 	白天	c=14 d=4.06897e-12 t=2174
bai wan 	百万	c=13 d=3.79771e-12 t=2174
bai wei shu 	白位数	c=1 d=5.4253e-13 t=2174
bai xue bing 	白血病	c=1 d=5.4253e-13 t=2174
bai ye 	白页	c=1 d=5.4253e-13 t=2174
bai yi 	百亿	c=2 d=8.13795e-13 t=2174
bai zi 	摆子	c=1 d=5.4253e-13 t=2174
ban 	伴	c=6 d=1.89885e-12 t=2174
ban 	办	c=31 d=8.68048e-12 t=2174
ban 	半	c=68 d=1.87173e-11 t=2174
ban 	拌	c=1 d=5.4253e-13 t=2174
ban 	搬	c=47 d=1.30207e-11 t=2174
ban 	板	c=22 d=6.23909e-12 t=2174
ban 	版	c=213 d=5.80507e-11 t=2174
ban 	班	c=42 d=1.16644e-11 t=2174
ban ban 	斑斑	c=18 d=5.15403e-12 t=2174
ban ban 	板板	c=2 d=8.13795e-13 t=2174
ban bei jiu 	半杯酒	c=6 d=1.89885e-12 t=2174
ban bei zi 	半辈子	c=1 d=5.4253e-13 t=2174
ban ben 	版本	c=1273 d=3.45591e-10 t=2174
ban cheng pin 	半成品	c=1 d=5.4253e-13 t=2174
ban cun 	半寸	c=1 d=5.4253e-13 t=2174
ban dao ti 	半导体	c=1 d=5.4253e-13 t=2174
ban deng 	板凳	c=1 d=5.4253e-13 t=2174
ban dian 	半点	c=1 d=5.4253e-13 t=2174
ban fa 	办法	c=137 d=3.74345e-11 t=2174
ban ge 	半个	c=8 d=2.44138e-12 t=2174
ban ge duo yue 	半个多月	c=1 d=5.4253e-13 t=2174
ban ge yue 	半个月	c=18 d=5.15403e-12 t=2174
ban gong 	办公	c=10 d=2.98391e-12 t=2174
ban gong lou 	办公楼	c=1 d=5.4253e-13 t=2174
ban gong shi 	办公室	c=2 d=8.13795e-13 t=2174
ban gong si 	办公司	c=1 d=5.4253e-13 t=2174
ban guo 	搬过	c=1 d=5.4253e-13 t=2174
ban guo qu 	搬过去	c=1 d=5.4253e-13 t=2174
ban han 	半酣	c=1 d=5.4253e-13 t=2174
ban hui 	半会	c=4 d=1.35632e-12 t=2174
ban jia 	搬家	c=9 d=2.71265e-12 t=2174
ban jia 	板甲	c=1 d=5.4253e-13 t=2174
ban jin 	半斤	c=10 d=2.98391e-12 t=2174
ban lan 	斑斓	c=1 d=5.4253e-13 t=2174
ban lv 	伴侣	c=3 d=1.08506e-12 t=2174
ban nian 	半年	c=49 d=1.35632e-11 t=2174
ban nian duo 	半年多	c=2 d=8.13795e-13 t=2174
ban nian qian 	半年前	c=2 d=8.13795e-13 t=2174
ban quan 	版权	c=9 d=2.71265e-12 t=2174
ban shan yao 	半山腰	c=1 d=5.4253e-13 t=2174
ban si bu huo 	半死不活	c=2 d=8.13795e-13 t=2174
ban tian 	半天	c=73 d=2.00736e-11 t=2174
ban xiao shi 	半小时	c=30 d=8.40921e-12 t=2174
ban xue 	半血	c=2 d=8.13795e-13 t=2174
ban yan 	扮演	c=0 d=0 t=2174
ban ye 	半夜	c=13 d=3.79771e-12 t=2174
ban yun 	搬运	c=1 d=5.4253e-13 t=2174
ban zhang 	班长	c=1 d=5.4253e-13 t=2174
ban zhu 	版主	c=1 d=5.4253e-13 t=2174
ban zi 	板子	c=7 d=2.17012e-12 t=2174
ban zi 	班子	c=1 d=5.4253e-13 t=2174
ban zi 	绊子	c=1 d=5.4253e-13 t=2174
ban zou 	伴奏	c=34 d=9.49427e-12 t=2174
ban zou 	搬走	c=1 d=5.4253e-13 t=2174
bang 	帮	c=39 d=1.08506e-11 t=2174
bang 	绑	c=2 d=8.13795e-13 t=2174
bang 	膀	c=2 d=8.13795e-13 t=2174
bang bang 	帮帮	c=3 d=1.08506e-12 t=2174
bang bang 	邦邦	c=1 d=5.4253e-13 t=2174
bang dang 	帮当	c=1 d=5.4253e-13 t=2174
bang ding 	绑定	c=75 d=2.06161e-11 t=2174
bang gua o 	帮挂哦	c=1 d=5.4253e-13 t=2174
bang guo 	帮过	c=1 d=5.4253e-13 t=2174
bang jia 	绑架	c=1 d=5.4253e-13 t=2174
bang ke 	棒客	c=1 d=5.4253e-13 t=2174
bang mang 	帮忙	c=717 d=1.94768e-10 t=2174
bang ni 	帮你	c=4 d=1.35632e-12 t=2174
bang shang 	绑上	c=1 d=5.4253e-13 t=2174
bang shou 	帮手	c=1 d=5.4253e-13 t=2174
bang tuo 	帮脱	c=1 d=5.4253e-13 t=2174
bang wo 	帮我	c=468 d=1.27223e-10 t=2174
bang wo kan 	帮我看	c=1 d=5.4253e-13 t=2174
bang zhu 	帮助	c=4 d=1.35632e-12 t=2174
bao 	保	c=3 d=1.08506e-12 t=2174
bao 	包	c=756 d=2.05347e-10 t=2174
bao 	堡	c=1 d=5.4253e-13 t=2174
bao 	宝	c=17 d=4.88277e-12 t=2174
bao 	报	c=614 d=1.66828e-10 t=2174
bao 	爆	c=15 d=0.00331267 t=2174
bao 	褒	c=1 d=5.4253e-13 t=2174
bao 	饱	c=1 d=5.4253e-13 t=2174
bao an 	保安	c=5 d=1.62759e-12 t=2174
bao an 	宝安	c=2 d=8.13795e-13 t=2174
bao bao 	宝宝	c=7 d=2.17012e-12 t=2174
bao bei 	宝贝	c=1 d=5.4253e-13 t=2174
bao bei 	报备	c=3 d=1.08506e-12 t=2174
bao biao 	报表	c=35 d=9.76553e-12 t=2174
bao bu liao 	保不了	c=1 d=5.4253e-13 t=2174
bao chi 	保持	c=37 d=1.03081e-11 t=2174
bao chi 	包吃	c=1 d=5.4253e-13 t=2174
bao chou 	报酬	c=1 d=5.4253e-13 t=2174
bao chuo 	保戳	c=2 d=8.13795e-13 t=2174
bao cun 	保存	c=123 d=3.36368e-11 t=2174
bao cuo 	报错	c=439 d=0.0620385 t=2174
