# Rime user dictionary
#@/db_name	zrm2000
#@/db_type	userdb
#@/rime_version	1.13.0
#@/tick	12038
#@/user_id	c28f17ba-0bbb-4f45-89da-6c5d9fec0f91
buqs 	不穷	c=1 d=5.43813e-11 t=12038
buqu 	不取	c=3 d=0.180866 t=12038
buqyiu 	不清楚	c=81 d=6.16037 t=12038
buro 	不弱	c=1 d=0.00358858 t=12038
bursyi 	不容易	c=7 d=1 t=12038
buug 	不升	c=1 d=0.055299 t=12038
buuhb 	不上	c=1 d=3.44131e-10 t=12038
buuik 	步石	c=1 d=5.56046e-08 t=12038
buuiyy 	不适应	c=1 d=2.4192e-11 t=12038
buuj 	不删	c=2 d=0.373245 t=12038
buuufu 	不舒服	c=1 d=2.65342e-10 t=12038
buuui 	不输	c=6 d=0.0403586 t=12038
buuuxi 	不熟悉	c=3 d=3.26561e-05 t=12038
buuuyu 	不属于	c=2 d=0.0266491 t=12038
buuw 	不刷	c=1 d=0.110251 t=12038
buvb 	步骤	c=56 d=0.0755513 t=12038
buvij 	布置	c=1 d=1.37451e-07 t=12038
buvik 	不知	c=1 d=0.114178 t=12038
buvkd 	不照	c=1 d=0.116484 t=12038
buvrh 	不转	c=1 d=0.343009 t=12038
buvsyk 	不重要	c=24 d=0.949893 t=12038
buvw 	不抓	c=1 d=0.000471307 t=12038
buwjqr 	不完全	c=1 d=0.000448321 t=12038
buxd 	不香	c=22 d=0.882497 t=12038
buxdts 	不相同	c=1 d=8.27522e-09 t=12038
buxig 	补习	c=1 d=6.34772e-07 t=12038
buxq 	不修	c=1 d=2.52402e-10 t=12038
buxuyk 	不需要	c=232 d=9.75527 t=12038
buyidy 	不一定	c=74 d=7.1494 t=12038
buyivi 	不一致	c=10 d=1 t=12038
buyiyh 	不一样	c=413 d=13.2681 t=12038
buyp 	不晕	c=1 d=1.22223e-08 t=12038
buypxu 	不允许	c=1 d=0.292293 t=12038
buysh 	不用	c=1 d=5.07048e-11 t=12038
buyyg 	不应	c=1 d=1.36482e-12 t=12038
buyygl 	不应该	c=17 d=0.000689737 t=12038
buza 	不砸	c=18 d=0.655348 t=12038
buzlyi 	不在意	c=1 d=7.65746e-08 t=12038
bxce 	别测	c=1 d=8.19009e-05 t=12038
bxdl 	别带	c=1 d=1.48565e-10 t=12038
bxfa 	别发	c=7 d=0.10435 t=12038
bxgk 	别搞	c=1 d=5.32954e-09 t=12038
bxgl 	别改	c=3 d=0.000345723 t=12038
bxgz 	别给	c=2 d=0.0544963 t=12038
bxhd 	别慌	c=2 d=0.0833256 t=12038
bxhe 	别和	c=1 d=7.33697e-05 t=12038
bxjx 	别接	c=1 d=0.00144449 t=12038
bxma 	别骂	c=3 d=0.22751 t=12038
bxns 	别弄	c=1 d=2.49203e-07 t=12038
bxrg 	别扔	c=2 d=6.82887e-06 t=12038
bxsi 	别死	c=2 d=0.00976109 t=12038
bxuh 	别上	c=1 d=0.000788798 t=12038
bxuj 	别删	c=1 d=1.59695e-07 t=12038
bxwj 	别玩	c=2 d=0.373439 t=12038
bxx 	憋	c=2 d=4.90791e-10 t=12038
bxxt 	别学	c=1 d=0.00442715 t=12038
bxxx 	别写	c=2 d=0.0149208 t=12038
bydv 	兵队	c=1 d=0.000359786 t=12038
bygs 	兵工	c=1 d=1.9999e-07 t=12038
bzci 	背刺	c=1 d=0.0893673 t=12038
bzdc 	被调	c=26 d=0.337902 t=12038
bzjixy 	北极星	c=29 d=2.86097 t=12038
bzlv 	倍率	c=1 d=0.00360656 t=12038
bzma 	被骂	c=1 d=0.0025415 t=12038
bzuo 	被说	c=1 d=0.0137049 t=12038
c 	次	c=11 d=0.3051 t=12038
cd, 	此地	c=11 d=0.181516 t=12038
cebm 	侧边	c=3 d=1.35545e-06 t=12038
cefg 	册封	c=19 d=3.30549 t=12038
cego 	测过	c=5 d=0.855298 t=12038
ceuv 	侧睡	c=1 d=0.00364281 t=12038
cewj 	测完	c=4 d=0.206675 t=12038
cex 	恻	c=1 d=0.0143357 t=12038
cexc 	憡	c=1 d=0.000788798 t=12038
cgcg 	蹭蹭	c=1 d=5.18454e-08 t=12038
cgv 	层状	c=1 d=0.00663763 t=12038
chsi 	藏私	c=1 d=0.00210172 t=12038
ciqu 	此去	c=1 d=0.00396599 t=12038
cji 	蚕	c=1 d=4.76368e-12 t=12038
cjsi 	蚕丝	c=1 d=7.24891e-10 t=12038
cldj 	彩蛋	c=3 d=1.00015 t=12038
cldo 	才多	c=1 d=0.00126207 t=12038
clff 	才分	c=1 d=0.0497871 t=12038
clgb 	才够	c=1 d=1.36765e-07 t=12038
clgl 	才改	c=2 d=0.0462692 t=12038
clie 	裁撤	c=9 d=0.232133 t=12038
clif 	才趁	c=1 d=0.351692 t=12038
clii 	才吃	c=1 d=0.165299 t=12038
cliu 	才出	c=2 d=0.000280472 t=12038
cljx 	才接	c=1 d=5.14624e-09 t=12038
clli 	彩礼	c=4 d=3.39403e-08 t=12038
clmz 	才没	c=1 d=0.00151098 t=12038
clsi 	蔡司	c=1 d=0.045502 t=12038
clud 	才爽	c=1 d=2.2049e-08 t=12038
cluh 	才上	c=3 d=0.0115701 t=12038
cluk 	采杓	c=1 d=1.39215e-10 t=12038
clwj 	才玩	c=1 d=0.108067 t=12038
coco 	搓搓	c=1 d=1.1396e-08 t=12038
cofa 	错发	c=1 d=1 t=12038
coig 	错成	c=1 d=0.155673 t=12038
cp 	存	c=209 d=8.36944 t=12038
cr 	窜	c=1 d=5.1347e-12 t=12038
cuxm 	粗线	c=1 d=3.90017e-12 t=12038
cvcv 	催催	c=2 d=1.20207 t=12038
d 	的	c=13307 d=29.8726 t=12038
daad 	大	c=2 d=4.07234e-12 t=12038
dada 	哒哒	c=1 d=4.84737e-11 t=12038
dadr 	大端	c=1 d=0.00460782 t=12038
dadx 	大爹	c=1 d=5.13208e-06 t=12038
dagl 	大改	c=1 d=2.86602e-05 t=12038
dahbfh 	大后方	c=1 d=0.0143357 t=12038
dahz 	打黑	c=1 d=0.00163682 t=12038
daji 	妲己	c=3 d=1.80024 t=12038
dalkbj 	大老板	c=1 d=0.0629761 t=12038
damj 	打满	c=2 d=0.0512109 t=12038
dark 	打扰	c=1 d=0.00278085 t=12038
dasj 	打散	c=1 d=1.77375e-07 t=12038
datx 	打铁	c=2 d=0.0955287 t=12038
daxibz 	大西北	c=1 d=0.357007 t=12038
dazi 	打字	c=8 d=0.00982151 t=12038
dazi 	褡子	c=1 d=0.0137049 t=12038
dazu 	大足	c=1 d=7.79199e-07 t=12038
dbbk 	豆包	c=2 d=1.04009e-06 t=12038
dbbm 	都变	c=4 d=0.744643 t=12038
dbbung 	都不能	c=6 d=0.421733 t=12038
dbcs 	都从	c=1 d=0.0668703 t=12038
dbdi 	兜底	c=120 d=7.0292 t=12038
dbdl 	都带	c=1 d=0.0160829 t=12038
dbdl 	都戴	c=1 d=0.00366107 t=12038
dbdo 	都多	c=1 d=0.0203434 t=12038
dbfh 	都放	c=2 d=0.00797683 t=12038
dbgb 	都够	c=3 d=0.00117088 t=12038
dbge 	斗歌	c=1 d=0.00042433 t=12038
dbgl 	都改	c=5 d=0.371577 t=12038
dbgo 	都过	c=1 d=1.06807e-10 t=12038
dbhe 	都和	c=2 d=0.0134341 t=12038
dbhl 	都还	c=9 d=0.883023 t=12038
dbji 	都寄	c=1 d=0.000209665 t=12038
dbjw 	都加	c=11 d=0.354275 t=12038
dbjx 	都接	c=1 d=0.00172937 t=12038
dbka 	都卡	c=1 d=1.25642e-09 t=12038
dbkeyi 	都可以	c=36 d=1.44078 t=12038
dbkl 	都开	c=2 d=8.67704e-08 t=12038
dbmzyb 	都没有	c=5 d=0.874115 t=12038
dbqu 	都取	c=4 d=0.928244 t=12038
dbqy 	都请	c=1 d=2.75411e-07 t=12038
dbtc 	都跳	c=1 d=0.522046 t=12038
dbti 	都提	c=1 d=0.0195457 t=12038
dbty 	都挺	c=2 d=0.069676 t=12038
dbuh 	都上	c=4 d=0.222017 t=12038
dbuui 	都输	c=1 d=1.00796e-05 t=12038
dbuv 	都睡	c=2 d=0.00233447 t=12038
dbvh 	都涨	c=1 d=0.904837 t=12038
dbwh 	都忘	c=1 d=0.571209 t=12038
dbwj 	都玩	c=3 d=0.586089 t=12038
dbzo 	都做	c=1 d=0.0113902 t=12038
