# Rime user dictionary
#@/db_name	zrm2000
#@/db_type	userdb
#@/rime_version	1.13.0
#@/tick	6937
#@/user_id	mac
bxfa 	别发	c=5 d=0.0554822 t=6937
bxgk 	别搞	c=1 d=5.32954e-09 t=6937
bxgz 	别给	c=2 d=0.0544963 t=6937
bxhd 	别慌	c=2 d=0.0833256 t=6937
bxhe 	别和	c=1 d=7.33697e-05 t=6937
bxjx 	别接	c=1 d=0.00144449 t=6937
bxma 	别骂	c=3 d=0.22751 t=6937
bxrg 	别扔	c=2 d=6.82887e-06 t=6937
bxsi 	别死	c=2 d=0.00976109 t=6937
bxwj 	别玩	c=1 d=0.0228227 t=6937
bxx 	憋	c=1 d=6.9827e-11 t=6937
bxxt 	别学	c=1 d=0.00442715 t=6937
bxxx 	别写	c=1 d=0.0149208 t=6937
bygs 	兵工	c=1 d=1.9999e-07 t=6937
bzci 	背刺	c=1 d=0.0893673 t=6937
bzdc 	被调	c=7 d=0.337902 t=6937
bzjixy 	北极星	c=25 d=2.86097 t=6937
bzma 	被骂	c=1 d=0.0025415 t=6937
bzuo 	被说	c=1 d=0.0137049 t=6937
c 	次	c=2 d=0.3051 t=6937
cd, 	此地	c=6 d=0.181516 t=6937
cego 	测过	c=2 d=0.855298 t=6937
ceuv 	侧睡	c=1 d=0.00364281 t=6937
cewj 	测完	c=2 d=3.80226e-05 t=6937
cex 	恻	c=1 d=0.0143357 t=6937
cexc 	憡	c=1 d=0.000788798 t=6937
cgv 	层状	c=1 d=0.00663763 t=6937
chsi 	藏私	c=1 d=0.00210172 t=6937
ciqu 	此去	c=1 d=0.00396599 t=6937
cji 	蚕	c=1 d=4.76368e-12 t=6937
cldj 	彩蛋	c=3 d=1.00015 t=6937
cldo 	才多	c=1 d=0.00126207 t=6937
clff 	才分	c=1 d=0.0497871 t=6937
clgl 	才改	c=2 d=0.0462692 t=6937
clie 	裁撤	c=4 d=0.232133 t=6937
clii 	才吃	c=1 d=0.165299 t=6937
cljx 	才接	c=1 d=5.14624e-09 t=6937
clli 	彩礼	c=4 d=3.39403e-08 t=6937
clmz 	才没	c=1 d=0.00151098 t=6937
clsi 	蔡司	c=1 d=0.045502 t=6937
clud 	才爽	c=1 d=2.2049e-08 t=6937
cluh 	才上	c=1 d=0.00975476 t=6937
clwj 	才玩	c=1 d=0.108067 t=6937
coco 	搓搓	c=1 d=1.1396e-08 t=6937
cofa 	错发	c=1 d=1 t=6937
cp 	存	c=150 d=8.36944 t=6937
cr 	窜	c=1 d=5.1347e-12 t=6937
cuxm 	粗线	c=1 d=3.90017e-12 t=6937
cvcv 	催催	c=2 d=1.20207 t=6937
d 	的	c=46 d=18.6893 t=6937
daad 	大	c=2 d=4.07234e-12 t=6937
dadr 	大端	c=1 d=0.00460782 t=6937
dadx 	大爹	c=1 d=5.13208e-06 t=6937
dagl 	大改	c=1 d=2.86602e-05 t=6937
dahz 	打黑	c=1 d=0.00163682 t=6937
daji 	妲己	c=3 d=1.80024 t=6937
dalkbj 	大老板	c=1 d=0.0629761 t=6937
dark 	打扰	c=1 d=0.00278085 t=6937
daxibz 	大西北	c=1 d=0.357007 t=6937
dazi 	打字	c=7 d=0.00982151 t=6937
dazi 	褡子	c=1 d=0.0137049 t=6937
dazu 	大足	c=1 d=7.79199e-07 t=6937
dbbm 	都变	c=4 d=0.744643 t=6937
dbbung 	都不能	c=4 d=0.421733 t=6937
dbcs 	都从	c=1 d=0.0668703 t=6937
dbdi 	兜底	c=77 d=7.0292 t=6937
dbdl 	都带	c=1 d=0.0160829 t=6937
dbdl 	都戴	c=1 d=0.00366107 t=6937
dbdo 	都多	c=1 d=0.0203434 t=6937
dbfh 	都放	c=2 d=0.00797683 t=6937
dbgb 	都够	c=1 d=0.00117088 t=6937
dbgl 	都改	c=1 d=0.371577 t=6937
dbhe 	都和	c=2 d=0.0134341 t=6937
dbhl 	都还	c=5 d=0.883023 t=6937
dbjw 	都加	c=5 d=0.354275 t=6937
dbjx 	都接	c=1 d=0.00172937 t=6937
dbka 	都卡	c=1 d=1.25642e-09 t=6937
dbkeyi 	都可以	c=26 d=1.44078 t=6937
dbkl 	都开	c=1 d=8.67704e-08 t=6937
dbmzyb 	都没有	c=3 d=0.874115 t=6937
dbqu 	都取	c=4 d=0.928244 t=6937
dbtc 	都跳	c=1 d=0.522046 t=6937
dbti 	都提	c=1 d=0.0195457 t=6937
dbty 	都挺	c=2 d=0.069676 t=6937
dbuh 	都上	c=3 d=0.222017 t=6937
dbuui 	都输	c=1 d=1.00796e-05 t=6937
dbuv 	都睡	c=2 d=0.00233447 t=6937
dbvh 	都涨	c=1 d=0.904837 t=6937
dbwh 	都忘	c=1 d=0.571209 t=6937
dbwj 	都玩	c=2 d=0.586089 t=6937
dbzo 	都做	c=1 d=0.0113902 t=6937
dcbk 	调包	c=1 d=3.89818e-06 t=6937
dcgd 	掉光	c=1 d=0.00208081 t=6937
dcmj 	刁蛮	c=1 d=0.00324708 t=6937
dcqu 	调取	c=1 d=2.5626e-12 t=6937
dcud 	屌	c=1 d=1.5931e-08 t=6937
ddd, 	短短的	c=5 d=0.0600301 t=6937
de 	的	c=1 d=2.27282e-12 t=6937
dghv 	等会	c=176 d=8.22739 t=6937
dgri 	等日	c=1 d=0.00136037 t=6937
dgxw 	等下	c=87 d=6.07583 t=6937
dhkl 	挡开	c=1 d=7.50711e-10 t=6937
dibm 	底边	c=1 d=1.2949e-11 t=6937
dierge 	第二个	c=42 d=1.35706 t=6937
dihd 	帝皇	c=3 d=0.496759 t=6937
disjge 	第三个	c=1 d=4.45085e-07 t=6937
dixi 	嫡系	c=8 d=1.15346 t=6937
diyige 	第一个	c=135 d=4.41315 t=6937
diyinm 	第一年	c=1 d=2.72013e-08 t=6937
diyk 	低腰	c=1 d=8.17312e-10 t=6937
